,mean_abs_shap
Collinsella,0.03604909821593307
Desulfobacterota,0.025431753233942454
Ruminococcus,0.015312125114401297
Desulfovibrio,0.014319253212388899
Faecalibacterium,0.012016415521286765
Firmicutes,0.01173099697595211
Actinobacteriota,0.01127777082726165
Bacteroidetes,0.010690322462327949
Bacteroides,0.009619902696871768
Roseburia,0.007520552595861878
Sutterella,0.005339408144693253
Blautia,0.004825263828787208
beta_glucuronidase,0.004615132523580616
Alistipes,0.004080341342981126
Lactobacillus,0.004054590614890172
Proteobacteria,0.003328457394410416
Bifidobacterium,0.0032868092320183753
Akkermansia,0.0011406453714377961
Parabacteroides,0.0005116232230679173
Prevotella,0.0
Escherichia_coli,0.0
