,Control,PCOS,highest_in,mannwhitney_p,significant_p<0.05
Firmicutes,54.97768581427878,45.59847429471939,Control,0.0026407798073004585,True
Bacteroidetes,41.24608088623711,50.70831436802712,PCOS,0.0006930636657227178,True
Proteobacteria,2.4521352280547655,2.6353389979557984,PCOS,0.24132971374953838,False
Actinobacteriota,0.6018121853808817,0.2804576460946278,Control,0.005404552156715035,True
Desulfobacterota,0.16807587534968563,0.07189850916508994,Control,0.044262903723591845,True
Bacteroides,22.401922876059754,35.906523616301996,PCOS,0.0005783132765544976,True
Lactobacillus,0.05483463438231709,0.08808187518681368,PCOS,0.1275574509926181,False
Faecalibacterium,8.002070141734546,10.48659522970252,PCOS,0.0798497730836979,False
Bifidobacterium,0.19441973174371144,0.001964865588722074,Control,0.26932815792429887,False
Prevotella,9.933286397327858,8.44794487542055,Control,0.2916410133119769,False
Ruminococcus,3.3920873933028797,3.3500472037442925,Control,0.17158441712680572,False
Akkermansia,0.060330032021587966,0.02269937011013063,Control,0.015642600973367338,True
Escherichia_coli,0.4222341940721541,0.8814752967076803,PCOS,0.5365653703733331,False
Collinsella,0.24179686315364013,0.16239552544753186,Control,0.27103747994875027,False
Roseburia,0.36589361199298825,0.6565826713752636,PCOS,0.2402177142608306,False
Blautia,3.107607067654145,3.26581501355121,PCOS,0.4034586166817664,False
Alistipes,2.7356569613095663,2.398176029552807,Control,0.43552492499986695,False
Parabacteroides,1.5783045258077273,1.7292742254851767,PCOS,0.3114717270877234,False
Desulfovibrio,0.15023962432250582,0.0656126040953588,Control,0.0682385290219569,False
Sutterella,1.111959231754601,0.7451504207388085,Control,0.09492177599354754,False
shannon_diversity,5.954217453685087,5.072385380490803,Control,0.0007893782453090664,True
